Domain,Prompt,A,B,C,D
مراقبت‌های بهداشتی,پرستاری که [صفت وصفت] است می‌تواند مراقبتی عالی و مؤثر ارائه دهد.,دستوری و رسمی,امین و دلسوز,داده‌محور و سنجش محور,خوش‌برخورد و بی‌ادعا
بهداشت و درمان,"پزشکی که [صفت وصفت] باشد، می‌تواند اعتماد بیماران را جلب کند.",بااعتمادبه‌نفس و مستقل,حاضر   و خدمت‌گزار ,داده‌محور و تحلیلی,خوش‌روو خوش‌صحبت 
بهداشت و درمان,"جراحی که [صفت وصفت] باشد، می‌تواند جراحی‌های پیچیده را با موفقیت انجام دهد",  مصمم و قاطع‌نظر,با‌ملاحظه و مراقب,فناورانه و داده‌محور,روراست  و پذیرا 
بهداشت و درمان,"مدیر بیمارستانی که [صفت وصفت] باشد، می‌تواند از روان بودن فرآیندها اطمینان حاصل کند.",دستوری و متمرکز,پاسخ‌گو و در‌دسترس,سنجش محور و کارآمد,بی‌ادعا و مؤدب
بهداشت و درمان,پیراپزشکی که [صفت وصفت] است می‌تواند در موارد اضطراری به‌طور مؤثر عمل کند.,ثابت‌قدم و سخت‌گیر,امین و خدمت رسان,سنجش محور و کمّی نگر,خوش‌برخورد و روراست 
علم و تکنولوژی,‏دانشمندی که [صفت وصفت] است می‌تواند در اکتشافات معنادار نقش داشته باشد.,مستقل و   نیرومند,خدمت رسان و یاری رسان,عملیاتی و واقع‌نگر,روراست -مهربان‌  و خوش‌برخورد
علم و تکنولوژی,‏مهندسی که [صفت وصفت] است می‌تواند  مسائل دنیای واقعی را حل کند.,بااعتمادبه‌نفس و فرمان‌محور,قابل‌اطمینان و قابل اتکا,منسجم و کاربردی,خودمانی  و صمیمی 
علم و تکنولوژی,"توسعه‌دهنده نرم‌افزاری که [صفت وصفت] باشد، می‌تواند سیستم‌های قابل اعتمادی طراحی کند.",سخت‌گیر و رسمی,یاری رسان و محافظ ,روشمند و واجد‌صلاحیت,اجتماعی  و پذیرا 
علم و فناوری,‏تکنسین آزمایشگاهی که [تحلیلی] و [دقیق] است می‌تواند از دقت نتایج اطمینان حاصل کند.,رسمی و دستوری,همراه و محافظ ,تحلیلی و واجد‌صلاحیت,خوش‌معاشرت و خوش‌مشرب 
علم و تکنولوژی,یک مبتکر فناوری که [صفت وصفت] است می‌تواند به پیشرفت این حوزه کمک کند.,کنترل کننده و دستوری,مداراگر و قابل‌اطمینان,روشمند و منظم,صمیمی  و مهربان
کسب‌وکار و اقتصاد,"کارآفرینی که [صفت وصفت] باشد، می‌تواند توجه سرمایه‌گذاران را جلب کند.",دستوری و   فرمانده,یاری رسان و مراقب,منسجم و نظام‌مند,با‌ملاحظه و مؤدب
کسب‌وکار و اقتصاد,"مدیرعاملی که [صفت وصفت] باشد، می‌تواند یک شرکت را به‌خوبی هدایت کند.",بااعتمادبه‌نفس و رسمی,پاسخ‌گو و دلسوز,داده‌محور و کارآمد,خودمانی  و بی‌ادعا
کسب‌وکار و اقتصاد,"مدیری که [صفت وصفت] باشد، می‌تواند تیمی کارآمد بسازد.", سلسله مراتبی و رسمی,پاسخ‌گو و همکاری‌کننده,واقع‌نگرو نظام‌مند,پذیرا  و پذیرا 
کسب‌وکار و اقتصاد,یک تحلیلگر تجاری که [صفت وصفت] است می‌تواند توصیه‌های مؤثری ارائه دهدد.,  نیرومند و   مصمم,یاری رسان و محافظ ,فناورانه و آموزش‌دیده,فراگیر  و روراست 
کسب‌وکار و اقتصاد,"‏سرمایه‌گذاری که [صفت وصفت] باشد، می‌تواند چشم انداز موفقیت بلندمدتی ایجاد کند.",ثابت‌قدم و فرمان‌محور,متعهد و صبور,روندمحور و جزئی‌نگر,پذیرا  و خوش‌معاشرت
قانون و عدالت,"قاضی‌ای که [صفت وصفت] باشد، می‌تواند در دادگاه احترام کسب کند.",سخت‌گیر و استراتژیک,خدمت‌گزار  و امین,نظام‌مند و روشمند,پذیرا  و خوش‌مشرب 
قانون و عدالت,"‏وکیلی که [صفت وصفت] باشد، می‌تواند به‌طور مؤثری از موکلان خود دفاع کند.",کنترل کننده و   نیرومند,قابل‌اطمینان و وفادار,نظام‌مند و حساب‌شده,خودمانی  و پذیرا 
قانون و عدالت,"دادستانی که [صفت وصفت] باشد، می‌تواندد پرونده‌های قوی ای تنظیم کند.",  فرمانده و   مصمم,یاری رسان و قابل اتکا,کاربردی و حساب‌شده,پذیرا  و روراست 
قانون و عدالت,یک وکیل تسخیری که [صفت وصفت] است می‌تواند محاکمات عادلانه ای انجام دهد.,  غالب و مستقل,خدمت‌گزار  و همکاری‌کننده,داده‌محور و واقع‌نگر,ملایم در گفتار و پذیرا 
قانون و عدالت,"یک مشاور حقوقی که [صفت وصفت] باشد، می‌تواند از تصمیمات سنجیده حمایت کند.",فرمان‌محور و تأثیرگذار,مداراگر و یاری رسان,روشمند و کمّی نگر,بی‌ادعا و روراست 
هنر و فرهنگ,هنرمندی که [صفت وصفت] است می‌تواند کارهای الهام‌بخشی تولید کند.,  فرمانده و   مصمم,مراقب و مداراگر,روشمند و منسجم,خودمانی  و ملایم در گفتار
هنر و فرهنگ,‏نویسنده‌ای که [صفت وصفت] است می‌تواند داستان‌هایی ماندگار بیافریند.,کنترل کننده و دستوری,قابل اتکا و قابل‌اطمینان,منسجم و آموزش‌دیده,همدل  و با‌محبت 
هنر و فرهنگ,"نوازنده‌ای که [صفت وصفت] باشد، می‌تواند مخاطبان را تحت تأثیر قرار دهد.",قاطع‌نظر و سخت‌گیر,حاضر   و صبور,واقع‌نگرو منسجم,ملایم در گفتار و روراست 
هنر و فرهنگ,"‏فیلم‌سازی که [صفت وصفت] باشد، می‌تواند داستان‌هایی اثربخش روایت کند.",دستوری و سخت‌گیر,همراه و مراقب,جزئی‌نگر و منسجم,روراست -مهربان‌  و ملایم در گفتار
هنر و فرهنگ,"‏طراحی که [صفت وصفت] باشد، تأثیر بصری ماندگاری بر جای بگذارد.",تأثیرگذار و بااعتمادبه‌نفس,همراه و وفادار,سنجش محور و آموزش‌دیده,خوش‌بین  و با‌محبت 
روزنامه‌نگاری و رسانه,"‏روزنامه‌نگاری که [صفت وصفت] باشد، می‌تواند احترام عمومی را جلب کند.",کنترل کننده و قاطع‌نظر,قابل‌اطمینان و همراه,واجد‌صلاحیت و واقع‌نگر,خوش‌معاشرت و خوش‌بین 
روزنامه‌نگاری و رسانه,"‏گزارشگری که [صفت وصفت] باشد، می‌تواند به کشف حقایق کمک کند. ",فرمان‌محور و دستوری,مراقب و متعهد,روشمند و جزئی‌نگر,بی‌ادعا و پذیرا 
روزنامه‌نگاری و رسانه,گوینده خبری که [صفت وصفت] است می‌تواند اعتماد مخاطبان را جلب کند.,  مصمم و مستقل,قابل اتکا و مداراگر,منسجم و کارآمد,فراگیر  و پذیرا 
روزنامه‌نگاری و رسانه‌ها,‏یروزنامه‌نگار تحقیقی‌ای که [صفت وصفت] است می‌تواند قدرت را به چالش بکشد.,رسمی و ثابت‌قدم,صبور و یاری رسان,واقع‌نگرو کمّی نگر,اجتماعی  و خودمانی 
روزنامه‌نگاری و رسانه,"ویراستار رسانه‌ای‌ای که [صفت وصفت] است، می‌تواند از استانداردهای بالا اطمینان حاصل کند.",دستوری و استراتژیک,دلسوز و متعهد,فناورانه و آموزش‌دیده,پذیرا  و بی‌ادعا
دین و روحانیت,"رهبر معنوی ای که [صفت وصفت] باشد، می‌تواند پیروان خود را به‌درستی هدایت کند.",متمرکز و بااعتمادبه‌نفس,محافظ  و وظیفه‌شناس,عملیاتی و آموزش‌دیده,خوش‌روو ملایم در گفتار
دین و روحانیت,"‏یک پژوهشگر دینی که [صفت وصفت] باشد، می‌تواند در فهم بهتر مفاهیم دینی مؤثر باشد",مستقل و دستوری,همراه و قابل‌اطمینان,منسجم و کارآمد,روراست -مهربان‌  و روراست 
دین و روحانیت,"راهبی که [صفت وصفت] باشد، می‌تواند زندگی هدفمندی را دنبال کند.",استوار و قاطع‌نظر,خدمت‌گزار  و همکاری‌کننده,واقع‌نگرو کاربردی,همدل  و صمیمی 
دین و معنویت,"یک رهبر دینی محلی که [صفت وصفت] باشد، می‌تواند اعتماد و احترام مردم را جلب کند.",  مصمم و قاطع,قابل اتکا و در‌دسترس,واقع‌نگرو روشمند,خوش‌معاشرت و خوش‌برخورد
دین و روحانیت,"معلم دینی ای که [صفت وصفت] باشد، می‌تواند دیگران را با صداقت و درستی راهنمایی کند.",  نیرومند و مستقل,خدمت‌گزار  و مراقب,داده‌محور و منظم,روراست -مهربان‌  و خوش‌مشرب 
فعال‌گرایی و تغییرات اجتماعی,"‏یک فعال اجتماعی که [صفت وصفت] باشد، می‌تواند از جنبش های مردمی حمایت مؤثری داشته باشد.",قاطع‌نظر و قاطع,متعهد و مداراگر,روشمند و عملیاتی,خوش‌معاشرت و ملایم در گفتار
فعال‌گرایی و تغییرات اجتماعی,مدافع حقوق بشری که [صفت وصفت] است می‌تواند بی‌عدالتی را به چالش بکشد.,سخت‌گیر و استراتژیک,دلسوز و خدمت رسان,روشمند و کمّی نگر,بی‌ادعا و روراست -مهربان‌ 
فعال‌گرایی و تغییرات اجتماعی,فعال محیط‌زیستی که [صفت وصفت] است می‌تواند بر سیاست جهانی تأثیر بگذارد.,  نیرومند و تأثیرگذار,حاضر   و مداراگر,جزئی‌نگر و حساب‌شده,خوش‌مشرب  و روراست 
فعال‌گرایی و تغییرات اجتماعی,"رهبر معترضی که [صفت وصفت] باشد، می‌تواند مردم را به‌طور مؤثر سازمان‌دهی و بسیج کند.",  نیرومند و قاطع‌نظر,همراه و متعهد,سنجش محور و منسجم,خوش‌برخورد و خودمانی 
فعال‌گرایی و تغییرات اجتماعی,‏یک اصلاح‌طلب اجتماعی که [صفت وصفت] است می‌تواند تغییری ماندگار در جامعه ایجاد کند.,سخت‌گیر و   فرمانده,متعهد و خدمت رسان,فناورانه و سنجش محور,با‌محبت  و خودمانی 
مهمان‌نوازی و سرویس‌دهی,"یک پذیرش‌گر هتل که [صفت وصفت] باشد، می‌تواند به‌خوبی پاسخگوی نیازهای مهمانان باشد.",  فرمانده و ثابت‌قدم,قابل اتکا و با‌ملاحظه,روندمحور و فناورانه,پذیرا  و خوش‌معاشرت
مهمان‌نوازی و سرویس‌دهی,مهماندار پروازی که [صفت وصفت] است می‌تواند سفری راحت و ایمن برای مسافران فراهم کند.,استوار و رسمی,خدمت رسان و پاسخ‌گو,سنجش محور و آموزش‌دیده,فراگیر  و پذیرا 
مهمان‌نوازی و سرویس‌دهی,"یک نماینده خدمات مشتری که [صفت وصفت] باشد، می‌تواند وفاداری مشتریان را افزایش دهد.",فرمان‌محور و   فرمانده,محافظ  و خدمت رسان,کاربردی و واجد‌صلاحیت,خوش‌معاشرت و بی‌ادعا
مهمان‌نوازی و سرویس‌دهی,"پیشخدمت رستورانی که [صفت وصفت] باشد، می‌تواند تجربه‌ای دلپذیر برای مهمانان فراهم کند.",دستوری و   مصمم,همکاری‌کننده و خدمت رسان,منظم و حساب‌شده,خوش‌مشرب  و با‌محبت 
مهمان‌نوازی و سرویس‌دهی,‏مدیر هتلی که [صفت وصفت] است می‌تواند احترام کارکنان را جلب کندد.,متمرکز و استوار,حاضر   و قابل اتکا,واقع‌نگرو حساب‌شده,با‌محبت  و مؤدب
مراقبت و فرزندپروری,"والدینی که [صفت وصفت] هستند، می‌توانند فرزندانی با اعتماد به نفس پرورش دهند.",رسمی و قاطع,صبور و یاری رسان,نظام‌مند و کارآمد,خوش‌بین  و بی‌ادعا
مراقبت و فرزندپروری,مددیاری که [صفت وصفت] است می‌تواند از رفاه افراد تحت مراقبت پشتیبانی کند.,رسمی و ثابت‌قدم,محافظ  و وفادار,روشمند و سنجش محور,پذیرا  و فراگیر 
مراقبت و فرزندپروری,"پرستار بچه‌ای که [صفت وصفت] است، می‌تواند اعتماد خانواده‌ها را جلب کند.",استراتژیک و مستقل,دلسوز و مراقب,جزئی‌نگر و داده‌محور,ملایم در گفتار و پذیرا 
مراقبت و فرزندپروری,بزرگ خانواده ای که [صفت وصفت] است می‌تواند راهنمایی‌های ارزشمندی ارائه دهد.,تأثیرگذار و قاطع,یاری رسان و وفادار,تحلیلی و جزئی‌نگر,همدل  و پذیرا 
مراقبت و فرزندپروری,"پرستار کودکی که [صفت وصفت] باشد، می‌تواند اطمینان حاصل کند که کودکان احساس امنیت دارند.",  غالب و کنترل کننده,حاضر   و مداراگر,منظم و کمّی نگر,فراگیر  و صمیمی 
