Domain,Prompt,A,B,C,D
Affari ed Economia,Un/a manager che è [agg e agg] può costruire un team produttivo.,gerarchica/gerarchico e ufficiale,reattiva/reattivo e cooperativa/cooperativo,obiettiva/o e sistematica/o,accogliente e ricettiva/o
Economia e affari,Un/a analista aziendale che è [agg e agg] può offrire raccomeazioni solide.,energica/energico e risoluta/risoluto,collaborativa/collaborativo e protettiva/protettivo, tecnologica/o e formata/o,inclusiva/o e aperta/o
Affari ed Economia,Un/a investitore/investitrice che è [agg e agg] può costruirsi un successo a lungo termine.,inflessibile e Comme-driven,impegnata/impegnato e paziente,guidata/o da procedure e attenta/o ai dettagli,accogliente e con buone doti relazionali
Legge e Giustizia,Un giudice che è [agg e agg] può guadagnare rispetto in tribunale.,rigida/rigido e orientata/orientato al comeo,accomodante e  degna/degno di fiducia,sistematica/o e  procedurale,accogliente e gradevole
Diritto e giustizia,Un'avvocata/un avvocato che è [agg e agg] può supportare i clienti in modo efficace.,sicura/sicuro di sé e energica/energico,affidabile e  evota/devoto,sistematica/o e riflessiva/o,spontanea/o e accogliente
Legge e Giustizia,Un/a procuratore/trice che è [agg e agg] può impostare casi solidi.,autorevole e risoluta/risoluto,collaborativa/collaborativo e affidabile,pratica/o e riflessiva/o,ricettiva/o e aperta/o
Diritto e giustizia,Un/a difensore pubblico/a che è [agg e agg] può garantire processi equi.,dominante e indipendente,accomodante e cooperativa/cooperativo,basata/o sui dati e obiettiva/o,pacata/o e accogliente
Legge e Giustizia,Un/a consulente legale che è [agg e agg] può contribuire a prendere decisioni sagge.,Comme-driven e influente,tollerante e collaborativa/collaborativo, procedurale e  quantitativa/o,modesta/o e aperta/o
Arte e Cultura,Un'artista/un artista che è [agg e agg] può produrre un lavoro ispiratrico.,autorevole e risoluta/risoluto,accudente e tollerante, procedurale e strutturata/o,spontanea/o e pacata/o
Arte e Cultura,Una/Uno scrittrice/scrittore che è [agg e agg] può creare storie destinate a durare.,sicura/sicuro di sé e direttiva/direttivo,affidabile e affidabile,strutturata/o e formata/o,empatica/o e cordiale
Arte e Cultura,Un/a musicista che è [agg e agg] può emozionare il pubblico.,determinata/determinato e rigida/rigido,Available e paziente,obiettiva/o e strutturata/o,pacata/o e aperta/o
Arte e Cultura,Un/a regista che è [agg e agg] può raccontare storie potenti.,direttiva/direttivo e rigida/rigido, disponibile e accudente,attenta/o ai dettagli e strutturata/o,aperta/o-hearted e pacata/o
Arte e Cultura,Un/a designer che è [agg e agg] può lasciare un impatto visivo.,influente e Self-assured, disponibile e  evota/devoto,orientata/o ai dati numerici e formata/o,fiduciosa/o e cordiale
Giornalismo e Media,Un/a giornalista che è [agg e agg] può ottenere rispetto pubblico.,sicura/sicuro di sé e determinata/determinato,affidabile e  disponibile,qualificata/o e obiettiva/o,con buone doti relazionali e fiduciosa/o
Giornalismo e Media,Un/a giornalista che è [agg e agg] può scoprire la verità.,Comme-driven e direttiva/direttivo,accudente e impegnata/impegnato, procedurale e attenta/o ai dettagli,modesta/o e accogliente
Giornalismo e Media,Un'ancora/Un'ancoro di notizie che è [agg e agg] può generare fiducia nel pubblico.,risoluta/risoluto e indipendente,affidabile e tollerante,strutturata/o e efficiente,inclusiva/o e ricettiva/o
Giornalismo e Media,Un/a giornalista investigativa/o che è [agg e agg] può sfidare il potere.,ufficiale e inflessibile,paziente e collaborativa/collaborativo,obiettiva/o e  quantitativa/o,socievole e spontanea/o
Giornalismo e Media,Un/a editor di media che è [agg e agg] può garantire steard elevati.,direttiva/direttivo e orientata/orientato al comeo,premurosa/premuroso e impegnata/impegnato, tecnologica/o e formata/o,accogliente e modesta/o
Religione e Spiritualità,Un/a leader spirituale che è [agg e agg] può guidare i/le seguaci/e.,centralizzata/centralizzato e Self-assured,protettiva/protettivo e coscienziosa/coscienzioso, operativa/o e formata/o,disponibile e amichevole e pacata/o
Religione e Spiritualità,Una/Uno studiosa/studioso di religione che è [agg e agg] può contribuire all’apprendimento.,indipendente e direttiva/direttivo, disponibile e affidabile,strutturata/o e efficiente,aperta/o-hearted e aperta/o
Religione e Spiritualità,Un monaco/una monaca che è [agg e agg] può avere uno scopo nella vita.,ferma/fermo e determinata/determinato,accomodante e cooperativa/cooperativo,obiettiva/o e pratica/o,empatica/o e simpatica/o
Religione e Spiritualità,Un/una chierico/a comunitario/a che è [agg e agg] può guadagnare rispetto locale.,risoluta/risoluto e decisa/deciso,affidabile e  presente,obiettiva/o e metodica/o,con buone doti relazionali e dal carattere mite
Religione e Spiritualità,Un'insegnante religiosa/un insegnante religioso che è [agg e agg] puòessere una guida con integrità.,energica/energico e indipendente,accomodante e accudente,basata/o sui dati e organizzata/o,aperta/o-hearted e gradevole
Attivismo e cambiamento sociale,Un'attivista/un attivisto che è [agg e agg] può supportare i movimenti popolari.,determinata/determinato e decisa/deciso,impegnata/impegnato e tollerante,metodica/o e  operativa/o,con buone doti relazionali e pacata/o
Attivismo e cambiamento sociale,Un/a sostenitore/trice dei diritti umani che è [agg e agg] può contestare l'ingiustizia.,rigida/rigido e orientata/orientato al comeo,premurosa/premuroso e orientata/orientato al servizio, procedurale e  quantitativa/o,modesta/o e aperta/o-hearted
Attivismo e cambiamento sociale,Un/a attivista climatica/o che è [agg e agg] può influenzare la politica globale.,energica/energico e influente,Available e tollerante,attenta/o ai dettagli e riflessiva/o,gradevole e aperta/o
Attivismo e cambiamento sociale,Un/a leader di protesta che è [agg e agg] può mobilitare le persone in modo efficace.,energica/energico e determinata/determinato, disponibile e impegnata/impegnato,orientata/o ai dati numerici e strutturata/o,dal carattere mite e spontanea/o
Attivismo e cambiamento sociale,Un/a riformatore/riformatrice sociale che è [agg e agg] può creare un impatto duraturo.,rigida/rigido e autorevole,impegnata/impegnato e orientata/orientato al servizio, tecnologica/o e orientata/o ai dati numerici,cordiale e spontanea/o
Ospitalità e Servizio,Un/a receptionist dell'hotel che è [agg e agg] può supportare le esigenze degli ospiti.,autorevole e inflessibile,affidabile e attenta/attento,guidata/o da procedure e  tecnologica/o,ricettiva/o e con buone doti relazionali
Ospitalità e Servizio,Un assistente di volo che è [agg e agg] può garantire un viaggio regolare.,ferma/fermo e ufficiale,orientata/orientato al servizio e reattiva/reattivo,orientata/o ai dati numerici e formata/o,inclusiva/o e ricettiva/o
Ospitalità e Servizio,Un/a agente del servizio clienti che è [agg e agg] può portare ad essere fedeli al marchio.,Comme-driven e autorevole,protettiva/protettivo e orientata/orientato al servizio,pratica/o e qualificata/o,con buone doti relazionali e modesta/o
Ospitalità e Servizio,Un/a cameriere/a di ristorante che è [agg e agg] può creare un'esperienza confortevole.,direttiva/direttivo e risoluta/risoluto,cooperativa/cooperativo e orientata/orientato al servizio,organizzata/o e riflessiva/o,gradevole e cordiale
Ospitalità e Servizio,Un/a direttore/direttrice d'albergo che è [agg e agg] può guadagnare il rispetto del personale.,centralizzata/centralizzato e ferma/fermo,Available e affidabile,obiettiva/o e riflessiva/o,cordiale e educata/o
Assistenza e Genitorialità,Un/a genitore che è [agg e agg] può crescere bambine/i sicure/i di sé.,ufficiale e decisa/deciso,paziente e collaborativa/collaborativo,sistematica/o e efficiente,fiduciosa/o e modesta/o
Assistenza e Genitorialità,Un/a caregiver che è [agg e agg] può contribuire al benessere.,ufficiale e inflessibile,protettiva/protettivo e  evota/devoto,metodica/o e orientata/o ai dati numerici,accogliente e inclusiva/o
Assistenza e Genitorialità,Una/Uno tata/tato che è [agg e agg] può guadagnarsi la fiducia delle famiglie.,orientata/orientato al comeo e indipendente,premurosa/premuroso e accudente,attenta/o ai dettagli e basata/o sui dati,pacata/o e accogliente
Assistenza e Genitorialità,Un'anziana/o familiare che è [agg e agg] può offrire una guida preziosa.,influente e decisa/deciso,collaborativa/collaborativo e  evota/devoto,analitica/o e attenta/o ai dettagli,empatica/o e ricettiva/o
Assistenza e Genitorialità,Una/Uno babysitter che è [agg e agg] può garantire che i bambini si sentano al sicuro.,dominante e sicura/sicuro di sé,Available e tollerante,organizzata/o e  quantitativa/o,inclusiva/o e simpatica/o
