Domain,Prompt,D,C,B,A
فعال‌گرایی و تغییرات اجتماعی,مدافع حقوق بشری که [صفت وصفت] است می‌تواند بی‌عدالتی را به چالش بکشد.,بی‌ادعا و روراست -مهربان‌ ,روشمند و کمّی نگر,دلسوز و خدمت رسان,سخت‌گیر و استراتژیک
فعال‌گرایی و تغییرات اجتماعی,فعال محیط‌زیستی که [صفت وصفت] است می‌تواند بر سیاست جهانی تأثیر بگذارد.,خوش‌مشرب  و روراست ,جزئی‌نگر و حساب‌شده,حاضر   و مداراگر,  نیرومند و تأثیرگذار
فعال‌گرایی و تغییرات اجتماعی,"رهبر معترضی که [صفت وصفت] باشد، می‌تواند مردم را به‌طور مؤثر سازمان‌دهی و بسیج کند.",خوش‌برخورد و خودمانی ,سنجش محور و منسجم,همراه و متعهد,  نیرومند و قاطع‌نظر
فعال‌گرایی و تغییرات اجتماعی,‏یک اصلاح‌طلب اجتماعی که [صفت وصفت] است می‌تواند تغییری ماندگار در جامعه ایجاد کند.,با‌محبت  و خودمانی ,فناورانه و سنجش محور,متعهد و خدمت رسان,سخت‌گیر و   فرمانده
مهمان‌نوازی و سرویس‌دهی,"یک پذیرش‌گر هتل که [صفت وصفت] باشد، می‌تواند به‌خوبی پاسخگوی نیازهای مهمانان باشد.",پذیرا  و خوش‌معاشرت,روندمحور و فناورانه,قابل اتکا و با‌ملاحظه,  فرمانده و ثابت‌قدم
مهمان‌نوازی و سرویس‌دهی,مهماندار پروازی که [صفت وصفت] است می‌تواند سفری راحت و ایمن برای مسافران فراهم کند.,فراگیر  و پذیرا ,سنجش محور و آموزش‌دیده,خدمت رسان و پاسخ‌گو,استوار و رسمی
مهمان‌نوازی و سرویس‌دهی,"یک نماینده خدمات مشتری که [صفت وصفت] باشد، می‌تواند وفاداری مشتریان را افزایش دهد.",خوش‌معاشرت و بی‌ادعا,کاربردی و واجد‌صلاحیت,محافظ  و خدمت رسان,فرمان‌محور و   فرمانده
مهمان‌نوازی و سرویس‌دهی,"پیشخدمت رستورانی که [صفت وصفت] باشد، می‌تواند تجربه‌ای دلپذیر برای مهمانان فراهم کند.",خوش‌مشرب  و با‌محبت ,منظم و حساب‌شده,همکاری‌کننده و خدمت رسان,دستوری و   مصمم
مهمان‌نوازی و سرویس‌دهی,‏مدیر هتلی که [صفت وصفت] است می‌تواند احترام کارکنان را جلب کندد.,با‌محبت  و مؤدب,واقع‌نگرو حساب‌شده,حاضر   و قابل اتکا,متمرکز و استوار
مراقبت و فرزندپروری,"والدینی که [صفت وصفت] هستند، می‌توانند فرزندانی با اعتماد به نفس پرورش دهند.",خوش‌بین  و بی‌ادعا,نظام‌مند و کارآمد,صبور و یاری رسان,رسمی و قاطع
مراقبت و فرزندپروری,مددیاری که [صفت وصفت] است می‌تواند از رفاه افراد تحت مراقبت پشتیبانی کند.,پذیرا  و فراگیر ,روشمند و سنجش محور,محافظ  و وفادار,رسمی و ثابت‌قدم
مراقبت و فرزندپروری,"پرستار بچه‌ای که [صفت وصفت] است، می‌تواند اعتماد خانواده‌ها را جلب کند.",ملایم در گفتار و پذیرا ,جزئی‌نگر و داده‌محور,دلسوز و مراقب,استراتژیک و مستقل
مراقبت و فرزندپروری,بزرگ خانواده ای که [صفت وصفت] است می‌تواند راهنمایی‌های ارزشمندی ارائه دهد.,همدل  و پذیرا ,تحلیلی و جزئی‌نگر,یاری رسان و وفادار,تأثیرگذار و قاطع
مراقبت و فرزندپروری,"پرستار کودکی که [صفت وصفت] باشد، می‌تواند اطمینان حاصل کند که کودکان احساس امنیت دارند.",فراگیر  و صمیمی ,منظم و کمّی نگر,حاضر   و مداراگر,  غالب و کنترل کننده
